num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,title,f_k_grade,artist,difficult_words,num_dupes,neg,neu,compound,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url,Genre,Gender
146.7,0.262,1954,3.6,92.8,110,23,Stranger In Paradise,1.3,Tony Bennett,15,0,0.117,0.62,0.9681,1HUc5mDTIx8Ul2cxSiAkcj,0.283,0.326,5,-9.091,1,0.0291,0.853,8.62E-06,0.219,0.108,79.176,300333,4,spotify:track:1HUc5mDTIx8Ul2cxSiAkcj,https://api.spotify.com/v1/audio-analysis/1HUc5mDTIx8Ul2cxSiAkcj,jazz,male
174.6,0.243,1954,4.8,106.67,156,22,If I Give My Heart To You,0.1,Doris Day,3,11,0.04,0.717,0.9856,3EuT9Db7LX4no2y4XTUc53,0.453,0.0593,9,-15.627,1,0.045,0.975,0,0.108,0.362,77.499,169560,4,spotify:track:3EuT9Db7LX4no2y4XTUc53,https://api.spotify.com/v1/audio-analysis/3EuT9Db7LX4no2y4XTUc53,jazz,female
166.5,0.056,1954,5.6,87.72,130,14,Changing Partners,3.3,Patti Page,12,4,0.018,0.926,0.7213,5QWtE9oVxZ84EqJdy5snTC,0.449,0.206,9,-15.534,1,0.0374,0.805,0,0.477,0.436,70.675,139867,3,spotify:track:5QWtE9oVxZ84EqJdy5snTC,https://api.spotify.com/v1/audio-analysis/5QWtE9oVxZ84EqJdy5snTC,jazz,female
300.6,0.391,1954,4,83.32,222,42,Papa Loves Mambo,2.9,Perry Como,22,32,0.005,0.603,0.9991,4qdF7iTMOWPLZrH7s6yfZk,0.674,0.498,0,-10.07,1,0.13,0.512,2.05E-06,0.404,0.747,81.075,162107,4,spotify:track:4qdF7iTMOWPLZrH7s6yfZk,https://api.spotify.com/v1/audio-analysis/4qdF7iTMOWPLZrH7s6yfZk,jazz,male
136.8,0.109,1954,4,100.24,114,22,"Shake, Rattle And Roll",0.5,Bill Haley and His Comets,10,7,0.125,0.767,-0.4487,2JoXjemDQe0fSmk26CpfrP,0.671,0.679,5,-11.237,1,0.142,0.159,0,0.158,0.82,166.726,150467,4,spotify:track:2JoXjemDQe0fSmk26CpfrP,https://api.spotify.com/v1/audio-analysis/2JoXjemDQe0fSmk26CpfrP,rock,Group
191.7,0.149,1954,4.8,98.21,160,22,Rags To Riches,1.3,Tony Bennett,10,12,0.023,0.828,0.9685,4BH8EuPAxeFAh1rSWtnGdD,0.409,0.435,2,-9.399,1,0.0453,0.907,7.17E-06,0.0559,0.567,78.136,168480,4,spotify:track:4BH8EuPAxeFAh1rSWtnGdD,https://api.spotify.com/v1/audio-analysis/4BH8EuPAxeFAh1rSWtnGdD,jazz,male
76.5,0.298,1955,4,91.78,61,12,Unchained Melody,1.7,Les Baxter,5,5,0.033,0.669,0.969,4dnbvB2Y3cZncApCwowEQx,0.242,0.209,7,-13.017,1,0.0324,0.206,0.0289,0.139,0.221,93.267,153373,4,spotify:track:4dnbvB2Y3cZncApCwowEQx,https://api.spotify.com/v1/audio-analysis/4dnbvB2Y3cZncApCwowEQx,,Group
90.9,0.245,1955,3.6,109.72,80,18,Ain't That A Shame,-1,Pat Boone,1,8,0.215,0.54,0.4632,6pTybvSMcw5spOS7d656rn,0.693,0.591,10,-5.249,1,0.0317,0.415,2.53E-04,0.136,0.83,116.826,143893,4,spotify:track:6pTybvSMcw5spOS7d656rn,https://api.spotify.com/v1/audio-analysis/6pTybvSMcw5spOS7d656rn,rock,male
322.2,0.06,1955,5.2,97.2,263,32,Sixteen Tons,1.7,Tennessee Ernie Ford,24,18,0.075,0.865,-0.6174,3P6OwCX7Ofiaaqtvujb6i5,0.693,0.324,11,-15.085,1,0.205,0.796,0,0.246,0.382,144.14,158307,4,spotify:track:3P6OwCX7Ofiaaqtvujb6i5,https://api.spotify.com/v1/audio-analysis/3P6OwCX7Ofiaaqtvujb6i5,swing,male
167.4,0.105,1955,5.6,96.18,139,14,Learnin' The Blues,2.1,Frank Sinatra,9,2,0.09,0.804,0.5158,6rNOKdqa2lThuBIJOZXSVa,0.489,0.257,9,-11.115,1,0.0363,0.516,0,0.0578,0.593,127.012,181907,4,spotify:track:6rNOKdqa2lThuBIJOZXSVa,https://api.spotify.com/v1/audio-analysis/6rNOKdqa2lThuBIJOZXSVa,,male
252,0.179,1955,4.8,98.21,212,29,Mr. Sandman,1.3,Chordettes,13,14,0.054,0.767,0.976,47O5lXcK78Z3TIiGzuc18l,0.626,0.535,9,-4.441,1,0.0443,0.85,0,0.0561,0.671,108.804,144200,4,spotify:track:47O5lXcK78Z3TIiGzuc18l,https://api.spotify.com/v1/audio-analysis/47O5lXcK78Z3TIiGzuc18l,,Group
